plot,Tree_Num,Loc_X,Loc_Y,spp,ht,DBH1989,Cnpy1989,DBH1998,Cnpy1998,DBH2002,Cnpy2002,DBH2010,Cnpy2010,Notes
2,9095,43.9,13.3,ACRU,15,28.3,2,29.9,2,30,2,30.9,2,
2,9096,42.9,15.3,-99,6,15.1,7,15.1,7,15.1,7,15.1,7,Down
2,9097,42.1,18.8,PCRU,3,3.6,5,3.6,5,3.6,7,3.6,7,Down
2,9098,42.6,18.7,PCRU,16,32.6,2,34,2,34.9,2,36,2,
2,9099,40.6,19.6,TSCA,12,22.8,3,25.3,3,25.8,3,28.45,2,
2,9100,42,19.9,TSCA,8,17.5,4,18.5,4,18.7,4,19.4,3,
2,9101,40.5,19.7,TSCA,4,5.6,7,5.6,7,5.6,7,5.6,7,Down
2,9102,42.4,20.4,PCRU,3,4.2,5,4.2,5,3.8,7,4,7,Standing
2,9103,44.2,19.6,ACRU,12,13,3,13.3,3,13.8,3,13.9,3,
2,9104,43.4,23.3,TSCA,11,18,3,20.5,3,21.4,3,23.7,2,
2,9105,43,24.7,TSCA,5,8,5,9.8,5,10.5,5,11.9,4,
2,9106,42.2,24.7,TSCA,10,15,6,15.1,6,15.1,7,15.1,7,Down
2,9108,45.3,0.6,TSCA,10,32.5,7,32.5,7,32.5,7,32.5,7,Down
2,9109,46.5,2.1,ABBA,3,3.2,5,6.3,5,7.2,5,8.9,4,
2,9110,46.6,2.9,ABBA,3,3.2,5,5.2,5,5.5,5,6.2,4,
2,9111,46.6,3.7,ABBA,3,4.1,5,6.6,5,7.2,5,8.3,4,
2,9112,47.1,3.8,ABBA,3,3.7,5,5.6,5,5.6,5,6,6,
2,9113,47.6,8.7,TSCA,6,9,5,10,5,10.5,5,11.4,4,
2,9114,46.8,9.7,PCRU,15,23.2,2,26.1,2,28.2,2,32,2,
2,9115,47.5,12.6,TSCA,7,9,6,9.2,6,9.2,6,9.4,6,
2,9116,46.8,13.5,ACRU,11,13,4,13.1,4,12.9,4,12.95,3,
2,9117,48.2,12.8,TSCA,17,31,2,33.3,2,33.3,2,35.8,2,
2,9118,48.6,13.1,PCRU,7,9.5,6,9.5,6,9.6,6,9.6,6,
2,9119,45.1,16.7,TSCA,7,11,6,12,6,12.6,6,13.5,4,
2,9120,45.7,17.3,TSCA,7,9.1,6,9.1,6,9,6,9.35,7,Standing
2,9121,46.1,17.6,BEPA,11,18,3,18.3,3,18.9,3,17.45,3,Yellow Birch (BEAL)
2,9122,47.3,18.3,THOC,3,11.2,7,11.2,7,10.7,7,11.2,7,Standing
2,9123,46.6,18.7,TSCA,12,16.3,3,18.5,3,19.2,3,21.85,3,
2,9124,45.7,19.1,ACRU,15,22,2,23.8,2,23.8,2,25.2,2,
2,9125,45,19.9,TSCA,8,12.6,4,13.6,4,13.7,4,14.3,4,
2,9126,49.6,18.5,THOC,8,17.8,6,17.8,6,17.9,6,17.8,7,Down
2,1741,28.2,11.4,ABBA,-99,0,0,0,0,0,0,4,5,New Tree 
2,1742,32.3,2.6,PIST,-99,0,0,0,0,0,0,4.15,5,New Tree 
2,1743,33,1.3,ABBA,-99,0,0,0,0,0,0,4.8,5,New Tree 
2,1744,43.8,0,ABBA,-99,0,0,0,0,0,0,6.5,4,New Tree 
2,1745,45.6,0.7,ABBA,-99,0,0,0,0,0,0,4.2,5,New Tree 
2,1746,46.6,0.8,TSCA,-99,0,0,0,0,0,0,4.95,5,New Tree 
2,1747,48.6,2.2,TSCA,-99,0,0,0,0,0,0,5,5,New Tree 
2,1748,48.5,5.8,ACRU,-99,0,0,0,0,0,0,4,5,New Tree 
2,1749,47.8,6.8,ABBA,-99,0,0,0,0,0,0,4.5,5,New Tree 
2,1750,49.2,18.1,TSCA,-99,0,0,0,0,0,0,6.35,4,New Tree 
2,1751,48.4,20.6,TSCA,-99,0,0,0,0,0,0,5.5,5,New Tree 
2,1752,47.9,23.8,TSCA,-99,0,0,0,0,0,0,5.05,5,New Tree 
7,902,20.2,25.1,PCRU,5,5.6,5,5.6,5,5.5,7,5.5,7,Down
7,903,22.1,25.4,TSCA,12,12.5,4,13.6,4,14.7,4,16.7,3,
7,904,21.1,27.6,TSCA,6,5.9,5,7.9,5,8.4,5,10,5,
7,905,22.6,27.6,TSCA,10,12.2,4,13.4,4,13.8,4,15.1,4,
7,906,23.9,27,TSCA,13,12.8,3,13.3,3,13.7,3,15,4,
7,907,24.4,27.6,ACRU,6,3.5,5,3.5,5,3.6,5,3.5,7,Down
7,908,24.8,27.9,ACRU,17,24.5,2,26,2,25.2,2,27,3,
7,909,22.1,29,THOC,17,22.7,3,23.8,3,24.6,3,26.3,3,
7,910,24.5,31.7,TSCA,14,19.1,3,21.1,3,21.4,3,22,3,
7,911,23.1,32.7,PCRU,18,25.2,2,30,2,30.4,2,35,2,
7,912,21.8,37,ACRU,7,4.2,5,5.4,5,5.4,5,5.7,5,
7,913,21.8,37.2,ACRU,8,5.1,5,6.2,5,6.5,5,7.2,4,
7,914,21.5,37.4,ACRU,6,4.8,5,4.1,5,4.2,5,3.8,7,Standing
7,915,22.4,37.9,ACRU,8,3.7,5,4.5,5,4.5,5,4.7,5,
7,916,22.3,38,ACRU,8,4.5,5,5.5,5,5.4,5,5.8,5,
7,917,22.3,38,ACRU,8,4.2,5,4.7,5,4.6,5,4.9,5,
7,918,22.4,38.1,ACRU,8,5.8,5,7.9,5,9.1,5,10.3,4,
7,919,22.2,38.3,ACRU,8,6,5,8.2,5,9.5,5,10.1,4,
7,920,22,38.6,ACRU,8,3.8,5,3.9,5,3.7,7,3.7,7,Standing
7,921,22.3,38.5,ACRU,8,4.8,5,6.3,5,6.7,5,7.5,5,
7,922,22.7,38.9,ACRU,8,3.2,5,3.4,5,3.3,5,3.4,7,Standing
7,923,24.4,39.3,ACRU,8,4.3,5,5.5,5,5.8,5,6.5,5,
7,924,24.2,39.4,ACRU,8,4.7,5,5.8,5,6.3,5,7,5,
7,925,24.1,39.5,ACRU,8,5,5,6.6,5,7,5,9.1,4,
7,926,24.4,39.5,ACRU,8,4.2,5,5.5,5,5.9,5,7,5,
7,927,24.1,39.6,ACRU,8,3.5,5,4.8,5,5.2,5,6,5,
7,928,24,39.8,ACRU,7,3.5,5,4.1,5,4.1,5,4,5,
7,929,24.4,43.2,PCRU,17,22.5,2,22.2,2,22.2,7,22.2,7,Down
7,930,23.3,43.4,PCRU,19,27.2,2,28.7,2,28.9,2,31.1,2,
7,931,22.9,42.5,TSCA,6,6.2,5,6.8,5,6.7,5,7.5,6,
7,932,22.3,42.5,TSCA,6,6.3,5,8.1,5,8.9,5,10.9,4,
7,933,21.9,43.3,ACRU,9,9.5,4,10.4,4,10.8,4,12.5,4,
7,934,21.2,43.8,ACRU,11,14.3,3,16.4,3,15.8,3,17.1,3,
7,935,21.3,46.5,PIST,4,3.1,5,4.5,5,4.3,5,3.95,7,"Down, Tagged #12887"
7,936,24.6,49.7,PCRU,10,14.5,3,16.7,3,17.4,3,18.9,3,
7,937,19.4,25.1,ACRU,16,13.7,2,14.3,2,14.3,2,14.4,3,
7,938,19.7,25.6,ACRU,13,10,3,10,3,10.8,3,12,4,
7,939,17.7,27.5,PCRU,8,7,7,7,7,7,7,11.2,4,"Alive, FoACRUerly #12000, Now #1538"
7,940,19.8,27.5,ABBA,0,16,7,16,7,16,7,16,7,Down
7,941,17,28.1,ACRU,5,4.2,5,4.8,5,4.4,7,4.8,7,Down
7,942,16.9,28.4,ACRU,7,5.5,5,5.1,5,5.7,5,5.8,7,Standing
7,943,16.7,28.4,ACRU,16,23.1,2,24.7,2,24.8,2,26.3,2,
7,944,16.7,29,ACRU,5,3.3,5,3.5,5,3.5,7,3.5,7,Standing
7,945,16.5,28.9,ACRU,7,4.5,5,5.2,5,5.6,5,5.15,6,
7,946,16.2,28.3,ACRU,7,4.3,5,4.8,5,4.8,5,4.7,7,Standing
7,947,16.2,28.7,ACRU,6,4.3,5,4.3,5,4.3,7,4.3,7,Down
7,948,17.5,29,TSCA,11,10.4,4,12.1,4,13.3,4,15.8,4,Changed from PCRU to TSCA
7,949,18.8,28.8,PCRU,0,8.5,7,8.5,7,8.5,7,8.5,7,Down
7,950,15.6,30.6,TSCA,10,9.8,4,10.1,4,10.1,4,10.5,6,
7,951,16.1,31.6,PCRU,15,19,2,20.5,2,21.5,2,21.5,7,Standing
7,952,17.3,32.7,PCRU,13,14.4,6,14.4,6,14.4,7,14.4,7,Down
7,953,19.6,32.2,ABBA,0,17.5,7,17.5,7,17.5,7,17.5,7,Down
7,954,19.8,32.9,ABBA,0,14.8,7,14.8,7,14.8,7,14.8,7,Down
7,955,15.8,36.6,ACRU,12,8.7,4,11.4,4,12.1,4,11.85,4,
7,956,15.8,36.8,ACRU,12,8.9,4,9,4,9.3,4,10,4,
