block,meas3yr,treeid,xsite,ysite,species,dbh69,can69,cond69,dbh75,can75,cond75,dbh91,can91,cond91,dbh01,can01,cond01,1969Orient,dbh11,can11,cond11,length11,angle11,decay,comments,soilmoist,hurrdam,10medge
SE51,1991,1067,48.5,-531.5,QURU,33.02,CD,L,35.56,CD,L,39.12,CD,L,42,CD,L,NA,44.7,CD,L,NA,NA,NA,1991: SKELETONIZING,moist,Moderate,0
SE51,1991,1068,47.5,-536.5,QURU,11.18,S,D,NA,NA,D,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3; NO BOLE ASSOCIATED,moist,Moderate,0
SE51,1991,1069,49,-544,QURU,30.48,CD,L,31.5,CD,L,33.53,CD,L,35.3,CD,L,NA,36.6,CD,L,NA,NA,NA,1991: SKELETONIZING,moist,Moderate,0
SE51,1991,1070,49,-546.5,PIST,30.48,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,G,NA,NA,NA,G,NA,NA,NA,NA,moist,Moderate,0
SE51,1991,1071,48.5,-552,ACRU,6.35,S,L,6.86,S,L,5.08,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; NO BARK; D1; 328DEG.; 24.4FT.; 2001: STUMP ONLY D3,moist,Moderate,0
SE51,1991,1072,47.5,-554,QURU,12.19,S,L,12.7,S,L,10.16,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; D2; 139DEG.; 31FT.; 2001: 19.5'; D2; MOSTLY BURIED; 120 DEG,moist,Moderate,0
SE51,1991,1073,49,-586.5,ACRU,9.14,S,L,9.4,S,L,9.14,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAPPED AT ~15FT.; MISSING SOME BARK; 2001: D3 STUMP ONLY,moist,Moderate,0
SE51,1991,1074,55,-503.5,PIST,30.48,NA,W,NA,NA,W,NA,NA,W,NA,NA,W,NW,NA,NA,W,NA,NA,D3,1969: WINDTHROWN: LOCATED AT CENTER OF MOUND; 1991:D2-D3; 2001: D3 STUMP ONLY,moist,Severe,0
SE51,1991,1075,52.5,-510.5,QURU,5.59,S,L,5.84,S,L,5.08,NA,SN,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: LEANS 93DEG.; 15FT. ON 124;27; MISSING BARK,moist,Moderate,0
SE51,1991,1076,52.5,-516,CADE,25.4,NA,ST,NA,NA,ST,NA,NA,ST,NA,NA,G,NA,NA,NA,G,NA,NA,NA,1991: D3,moist,Moderate,0
SE51,1991,1077,52,-523.5,ACRU,10.67,S,L,10.92,S,L,12.19,S,L,12.5,S,L,NA,12.6,S,L,NA,NA,NA,2011: TOP SNAPPED,moist,Moderate,0
SE51,1991,1078,54,-529,ACRU,4.57,S,L,NA,NA,L,6.35,S,L,7.4,S,L,NA,8.2,S,L,NA,NA,NA,1975: MISSED; 1991: BOLE 148;46 LEANS ON IT,moist,Moderate,0
SE51,1991,1079,55,-551,ACRU,6.86,S,L,7.11,S,L,8.13,NA,D,9,NA,SN,NA,NA,NA,SN,2,209,D3,1991: HOLE IN BOLE 6.5FT. UP; E SIDE; 2001: SNAPPED AT ~3'; 19.3'; 209 DEG,moist,Moderate,0
SE51,1991,1080,54.5,-560,ACRU,6.6,S,L,6.6,S,L,5.08,NA,SN,NA,NA,SN,NA,NA,NA,G,NA,NA,NA,1991: SNAP AT BASE; NO BARK AT DBH; D2; 231DEG.; 7.8FT.; 2001: D3 STUMP ONLY,moist,Moderate,0
SE51,1991,1081,53.5,-572,ACRU,5.84,S,L,6.86,S,L,7.62,S,L,7.8,S,L,NA,7.8,NA,D,19.6,286,D2,1991: LOWER BRANCHES DEAD; LEANS W; 2001: LEANS W; 2011: SNAP AT 4M; GOING OVER WALL,moist,Moderate,0
SE51,1991,1082,52.5,-578,QURU,23.37,CD,L,24.38,CD,L,24.89,NA,D,23,NA,RB,NA,23.7,NA,RB,42,184,D2,1991: BARK MISSING ABOVE 8FT.; 2001: 44'; 184 DEG; D2; GOES OVER STONE WALL,moist,Moderate,0
SE51,1991,1083,53.5,-578.5,BELE,5.33,S,L,6.35,S,L,11.18,I,L,13.8,I,L,NA,16.5,I,L,NA,NA,NA,2011: TRUNK SPROUTS,moist,Moderate,0
SE51,1991,1084,53,-598.5,QURU,19.81,CD,L,21.34,CD,L,25.65,CD,L,28.9,CD,L,NA,33,CD,L,NA,NA,NA,1991: LIGHT SKELETONIZING,moist,Moderate,0
