Site,Tree Number,core orientation,species,DBH,Distance,Azimuth,Canopy,Status
HOW3,52,,TSCA,38.9,9.9,302,D,Li
HOW3,53,,TSCA,27.3,15.3,325,C,Li
HOW3,54,,ACRU,33.2,18.2,305,C,Li
HOW3,55,,TSCA,31.6,16.8,305,C,Li
HOW3,56,,PCRU,25.7,16.8,295,C,Li
HOW3,57,,PCRU,23.4,19.5,300,I,Li
HOW3,58,,TSCA,27.6,19.1,290,C,Li
HOW3,59,,TSCA,10.8,12.2,273,S,Li
HOW3,60,,TSCA,28,12.4,274,C,Li
HOW3,61,,TSCA,44.4,13.4,276,C,Li
HOW3,62,,ACRU,31.1,14,270,C,Li
HOW3,63,,ACRU,22.6,18.4,280,D,Li
HOW3,64,,TSCA,44.5,16.1,335,C,Li
HOW3,65,,PCRU,34.3,17.8,342,C,Li
HOW3,66,,TSCA,31.1,5.3,230,C,Li
HOW3,67,,TSCA,25.7,6.6,220,C,Li
HOW3,68,,TSCA,36.2,7.4,200,C,Li
HOW3,69,,TSCA,15.6,7.1,185,S,Li
HOW3,70,,TSCA,15.4,7.3,180,S,Li
HOW3,71,,TSCA,43.2,11.1,197,D,Li
HOW3,72,,TSCA,31.2,13.7,193,C,Li
HOW3,73,,ACRU,27,13.7,200,C,Li
HOW3,74,,TSCA,17,12.7,203,S,Li
HOW3,75,,TSCA,18.7,12.7,203,C,Li
HOW3,76,,TSCA,42.8,17.4,184,C,Li
HOW3,77,,TSCA,30.5,17.4,182,C,Li
HOW3,78,,TSCA,36,18.7,185,C,Li
HOW3,79,,TSCA,22,18.7,195,I,Li
HOW3,80,,TSCA,34,14.3,215,C,Li
HOW3,81,,TSCA,26.6,15.6,210,C,Li
HOW3,82,,ACRU,39.2,18.3,200,C,Li
HOW3,83,,TSCA,43.4,19,198,C,Li
HOW3,84,,TSCA,47.1,14.7,238,D,Li
HOW3,85,,PCRU,12.2,10.2,245,I,Li
HOW3,86,,TSCA,13.9,8.6,260,I,Li
HOW3,87,,TSCA,22.8,15.6,265,I,Li
HOW3,88,,PCRU,37.1,16.1,253,D,Li
