plot,tree no.,species,DBH1979,Cnpy1979,rem1979,DBH1983,Cnpy1983,rem1983,DBH1989,Cnpy1989,rem1989,DBH1994,Cnpy1994,rem1994,DBH1999,Cnpy1999,rem1999,DBH2009,Cnpy2009,rem2009
A0,59,40,5.7,4,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,60,76,3.3,4,12,3.4,4,28,3.4,4,12,0,0,9,0,0,0,0,0,0
A0,61,76,1.3,4,12,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,769,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0
A0,684,78,0,0,0,0,0,0,0,0,0,0,0,0,1.3,4,0,2.4,4,0
A0,685,78,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,0,0,0,9
A0,62,76,2.3,4,81,2.4,4,8,2.8,4,8,2.8,4,3,3,4,3,3.5,4,23
A0,63,91,14.8,2,0,15.6,2,0,16.5,2,0,17.3,2,3,18.2,2,32,20.3,2,0
A0,64,76,1.2,4,8,1.2,4,8,0,0,9,0,0,0,0,0,0,0,0,0
A0,770,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,23
A0,771,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,4,23
A0,772,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4,13
A0,773,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,3
A0,65,76,1.2,4,8,1.2,4,8,1.2,4,28,1.3,4,28,2,4,0,3.3,4,3
A0,66,66,17.4,2,0,18.1,2,0,19.1,2,0,0,0,9,0,0,0,0,0,0
A0,67,76,2.9,4,0,2.9,4,2,3,4,0,3.1,3,0,4.1,3,0,6.5,2,0
A0,68,66,16.5,3,0,16.9,3,0,17.2,3,1,0,0,9,0,0,0,0,0,0
A0,69,66,20.2,2,0,21.3,2,0,22.4,2,1,0,0,9,0,0,0,0,0,0
A0,70,76,1,4,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,686,78,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,9
A0,774,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0
A0,687,78,0,0,0,0,0,0,0,0,0,0,0,0,1.7,4,0,3.4,3,0
A0,71,76,5.4,4,0,5.8,4,0,6.2,4,0,6.6,4,3,0,0,9,0,0,0
A0,72,71,10.8,3,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
A0,73,76,4.3,4,813,4.3,4,38,4.4,4,381,4.4,4,31,4.9,4,31,5.9,4,123
A0,74,76,1.6,4,812,1.6,4,8,1.7,4,18,1.8,4,18,2.3,4,18,2.9,4,0
A0,688,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,1.8,4,12
A0,775,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,1
A0,776,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,4,0
A0,689,78,0,0,0,0,0,0,0,0,0,0,0,0,1.2,4,0,2.4,3,0
A0,75,76,1.4,4,8,1.6,4,8,1.8,4,8,2.6,4,8,2.9,4,0,3.8,3,0
A0,76,76,1.4,4,812,1.4,4,8,1.5,4,2,0,0,9,0,0,0,0,0,0
